date,cases,dead,recovered
2020-02-27,6.0,0.0,0.0
2020-02-28,8.0,0.0,0.0
2020-02-29,12.0,0.0,0.0
2020-03-01,12.0,0.0,0.0
2020-03-02,12.0,0.0,0.0
2020-03-03,12.0,0.0,0.0
2020-03-04,12.0,0.0,0.0
2020-03-05,21.0,0.0,0.0
2020-03-06,27.0,0.0,0.0
2020-03-07,34.0,0.0,0.0
2020-03-08,54.0,0.0,11.0
2020-03-09,71.0,0.0,11.0
2020-03-10,90.0,0.0,11.0
2020-03-11,115.0,0.0,11.0
2020-03-12,219.0,0.0,0.0
2020-03-13,269.0,2.0,0.0
2020-03-14,437.0,6.0,0.0
2020-03-15,554.0,7.0,0.0
2020-03-16,683.0,11.0,0.0
2020-03-17,859.0,19.0,38.0
2020-03-18,1008.0,23.0,33.0
2020-03-19,1287.0,30.0,36.0
2020-03-20,1515.0,40.0,36.0
2020-03-21,1725.0,47.0,38.0
2020-03-22,1961.0,58.0,50.0
2020-03-23,2471.0,87.0,66.0
2020-03-24,3010.0,113.0,71.0
2020-03-25,3406.0,134.0,77.0
2020-03-26,3793.0,144.0,92.0
2020-03-27,4277.0,175.0,139.0
2020-03-28,4682.0,207.0,148.0
2020-03-29,5405.0,236.0,155.0
2020-03-30,5818.0,248.0,160.0
2020-03-31,6392.0,308.0,182.0
2020-04-01,6972.0,343.0,228.0
2020-04-02,7374.0,376.0,258.0
2020-04-03,7869.0,426.0,463.0
2020-04-04,8301.0,470.0,665.0
2020-04-05,8581.0,491.0,798.0
2020-04-06,8767.0,528.0,900.0
2020-04-07,8997.0,605.0,1041.0
